Iteracion,Punto inicial,Punto final,Raiz,Raiz en funcion
1,0.500000,1.500000,1.000000,-0.367855
2,1.000000,1.500000,1.250000,0.808365
3,1.000000,1.250000,1.125000,0.227182
4,1.000000,1.125000,1.062500,-0.069202
5,1.062500,1.125000,1.093750,0.079349
6,1.062500,1.093750,1.078125,0.005154
7,1.062500,1.078125,1.070312,-0.032005
8,1.070312,1.078125,1.074219,-0.013421
9,1.074219,1.078125,1.076172,-0.004132
10,1.076172,1.078125,1.077148,0.000511
11,1.076172,1.077148,1.076660,-0.001811
12,1.076660,1.077148,1.076904,-0.000650
13,1.076904,1.077148,1.077026,-0.000069
14,1.077026,1.077148,1.077087,0.000221
15,1.077026,1.077087,1.077057,0.000076
16,1.077026,1.077057,1.077042,0.000003
