X,Y_aproximado
0.000000,1.000000
0.100000,0.963212
0.200000,0.931675
0.300000,0.908079
0.400000,0.894393
0.500000,0.891806
0.600000,0.900711
0.700000,0.920763
0.800000,0.951003
0.900000,0.990046
1.000000,1.036271
1.100000,1.088003
1.200000,1.143647
1.300000,1.201774
1.400000,1.261166
1.500000,1.320824
1.600000,1.379959
1.700000,1.437967
1.800000,1.494401
1.900000,1.548945
2.000000,1.601384
2.100000,1.651586
2.200000,1.699483
2.300000,1.745052
2.400000,1.788307
2.500000,1.829289
2.600000,1.868056
2.700000,1.904681
2.799999,1.939243
2.899999,1.971829
2.999999,2.002526
3.099999,2.031425
3.199999,2.058613
3.299999,2.084179
3.399999,2.108207
3.499999,2.130781
3.599999,2.151980
3.699999,2.171880
3.799999,2.190554
3.899998,2.208073
3.999998,2.224501
4.099998,2.239903
4.199998,2.254339
4.299998,2.267864
4.399998,2.280533
4.499998,2.292396
4.599998,2.303502
4.699998,2.313895
4.799998,2.323620
4.899998,2.332716
4.999998,2.341222
5.099998,2.349174
5.199997,2.356605
5.299997,2.363548
5.399997,2.370033
5.499997,2.376088
5.599997,2.381741
5.699997,2.387017
5.799997,2.391939
5.899997,2.396530
5.999997,2.400811
6.099997,2.404801
6.199996,2.408520
6.299996,2.411984
6.399996,2.415211
6.499996,2.418216
6.599996,2.421012
6.699996,2.423615
6.799996,2.426037
6.899996,2.428289
6.999996,2.430383
7.099996,2.432329
7.199996,2.434138
7.299995,2.435819
7.399995,2.437380
7.499995,2.438830
7.599995,2.440175
7.699995,2.441424
7.799995,2.442583
7.899995,2.443658
7.999995,2.444654
8.099995,2.445579
8.199995,2.446435
8.299995,2.447229
8.399996,2.447965
8.499996,2.448646
8.599997,2.449277
8.699997,2.449861
8.799997,2.450401
8.899998,2.450902
8.999998,2.451364
9.099998,2.451792
9.199999,2.452188
9.299999,2.452554
9.400000,2.452893
9.500000,2.453206
9.600000,2.453495
9.700001,2.453762
9.800001,2.454008
9.900002,2.454236
10.000002,2.454446
