X,Y_aproximado
0.000000,1.000000
0.010000,0.996340
0.020000,0.992720
0.030000,0.989144
0.040000,0.985614
0.050000,0.982134
0.060000,0.978707
0.070000,0.975335
0.080000,0.972022
0.090000,0.968770
0.100000,0.965583
0.110000,0.962462
0.120000,0.959411
0.130000,0.956432
0.140000,0.953528
0.150000,0.950701
0.160000,0.947952
0.170000,0.945286
0.180000,0.942703
0.190000,0.940206
0.200000,0.937796
0.210000,0.935477
0.220000,0.933249
0.230000,0.931114
0.240000,0.929074
0.250000,0.927131
0.260000,0.925287
0.270000,0.923542
0.280000,0.921898
0.290000,0.920356
0.300000,0.918918
0.310000,0.917585
0.320000,0.916357
0.330000,0.915236
0.340000,0.914223
0.350000,0.913318
0.360000,0.912522
0.370000,0.911836
0.380000,0.911260
0.390000,0.910796
0.400000,0.910442
0.410000,0.910200
0.420000,0.910070
0.430000,0.910051
0.440000,0.910145
0.450000,0.910351
0.460000,0.910670
0.470000,0.911100
0.480000,0.911641
0.490000,0.912295
0.500000,0.913059
0.510000,0.913935
0.520000,0.914921
0.530000,0.916016
0.540000,0.917221
0.550000,0.918535
0.560000,0.919956
0.570000,0.921485
0.580000,0.923120
0.590000,0.924861
0.600000,0.926706
0.610000,0.928655
0.620000,0.930707
0.630000,0.932860
0.640000,0.935113
0.650000,0.937466
0.660000,0.939917
0.670000,0.942466
0.680000,0.945109
0.690000,0.947848
0.700000,0.950679
0.710000,0.953602
0.720000,0.956616
0.730000,0.959718
0.740000,0.962908
0.750000,0.966184
0.760000,0.969545
0.770000,0.972989
0.780000,0.976515
0.790000,0.980121
0.800000,0.983805
0.810000,0.987566
0.820000,0.991403
0.830000,0.995314
0.839999,0.999297
0.849999,1.003351
0.859999,1.007475
0.869999,1.011665
0.879999,1.015922
0.889999,1.020243
0.899999,1.024627
0.909999,1.029073
0.919999,1.033578
0.929999,1.038141
0.939999,1.042760
0.949999,1.047435
0.959999,1.052163
0.969999,1.056943
0.979999,1.061773
0.989999,1.066652
0.999999,1.071578
1.009999,1.076550
1.019999,1.081566
1.029999,1.086625
1.039999,1.091725
1.049999,1.096866
1.059999,1.102044
1.069999,1.107260
1.079999,1.112511
1.089999,1.117797
1.099999,1.123115
1.109999,1.128465
1.119999,1.133845
1.129999,1.139254
1.139999,1.144691
1.149999,1.150154
1.159999,1.155642
1.169999,1.161153
1.179999,1.166688
1.189999,1.172243
1.199999,1.177819
1.209999,1.183415
1.219999,1.189028
1.229999,1.194657
1.239999,1.200303
1.249999,1.205963
1.259999,1.211637
1.269999,1.217323
1.279999,1.223021
1.289999,1.228729
1.299999,1.234447
1.309999,1.240174
1.319999,1.245908
1.329999,1.251649
1.339999,1.257395
1.349999,1.263147
1.359999,1.268903
1.369999,1.274662
1.379999,1.280423
1.389999,1.286186
1.399999,1.291950
1.409999,1.297714
1.419999,1.303477
1.429999,1.309239
1.439999,1.314999
1.449999,1.320756
1.459999,1.326510
1.469999,1.332259
1.479999,1.338004
1.489999,1.343743
1.499999,1.349476
1.509999,1.355202
1.519999,1.360922
1.529999,1.366633
1.539999,1.372336
1.549999,1.378031
1.559999,1.383715
1.569999,1.389390
1.579999,1.395055
1.589999,1.400709
1.599999,1.406351
1.609999,1.411982
1.619999,1.417600
1.629999,1.423206
1.639999,1.428799
1.649999,1.434378
1.659999,1.439944
1.669999,1.445495
1.679999,1.451032
1.689999,1.456554
1.699999,1.462060
1.709999,1.467551
1.719999,1.473027
1.729999,1.478486
1.739999,1.483928
1.749999,1.489354
1.759999,1.494762
1.769999,1.500154
1.779999,1.505527
1.789999,1.510883
1.799999,1.516221
1.809999,1.521541
1.819999,1.526842
1.829999,1.532124
1.839999,1.537387
1.849999,1.542631
1.859999,1.547856
1.869999,1.553062
1.879999,1.558247
1.889999,1.563413
1.899999,1.568559
1.909999,1.573685
1.919999,1.578791
1.929999,1.583876
1.939999,1.588941
1.949998,1.593985
1.959998,1.599008
1.969998,1.604010
1.979998,1.608991
1.989998,1.613952
1.999998,1.618891
2.009999,1.623808
2.019999,1.628705
2.029999,1.633580
2.039999,1.638433
2.049999,1.643265
2.059999,1.648075
2.069999,1.652864
2.079998,1.657631
2.089998,1.662376
2.099998,1.667099
2.109998,1.671801
2.119998,1.676480
2.129998,1.681138
2.139998,1.685773
2.149998,1.690387
2.159998,1.694978
2.169998,1.699548
2.179998,1.704096
2.189998,1.708621
2.199998,1.713125
2.209998,1.717606
2.219998,1.722065
2.229998,1.726503
2.239998,1.730918
2.249998,1.735311
2.259998,1.739682
2.269998,1.744032
2.279998,1.748359
2.289998,1.752664
2.299998,1.756947
2.309998,1.761209
2.319998,1.765448
2.329998,1.769666
2.339998,1.773862
2.349998,1.778036
2.359998,1.782188
2.369998,1.786318
2.379998,1.790427
2.389998,1.794514
2.399998,1.798580
2.409998,1.802624
2.419998,1.806646
2.429998,1.810647
2.439998,1.814627
2.449998,1.818585
2.459998,1.822522
2.469998,1.826438
2.479998,1.830332
2.489998,1.834206
2.499998,1.838058
2.509998,1.841889
2.519998,1.845699
2.529998,1.849489
2.539998,1.853257
2.549998,1.857005
2.559998,1.860732
2.569998,1.864439
2.579998,1.868125
2.589998,1.871790
2.599998,1.875435
2.609998,1.879059
2.619998,1.882664
2.629998,1.886248
2.639998,1.889812
2.649998,1.893355
2.659998,1.896879
2.669998,1.900383
2.679998,1.903867
2.689998,1.907331
2.699998,1.910775
2.709998,1.914200
2.719998,1.917605
2.729998,1.920991
2.739998,1.924357
2.749998,1.927704
2.759998,1.931032
2.769998,1.934341
2.779998,1.937630
2.789998,1.940901
2.799998,1.944152
2.809998,1.947385
2.819998,1.950599
2.829998,1.953794
2.839998,1.956971
2.849998,1.960129
2.859998,1.963269
2.869998,1.966390
2.879998,1.969494
2.889998,1.972579
2.899998,1.975645
2.909998,1.978694
2.919998,1.981725
2.929998,1.984738
2.939998,1.987733
2.949998,1.990710
2.959998,1.993670
2.969998,1.996613
2.979998,1.999537
2.989998,2.002445
2.999998,2.005335
3.009998,2.008208
3.019998,2.011064
3.029998,2.013902
3.039998,2.016724
3.049998,2.019529
3.059998,2.022317
3.069998,2.025089
3.079998,2.027844
3.089998,2.030582
3.099998,2.033304
3.109998,2.036009
3.119998,2.038698
3.129997,2.041371
3.139997,2.044028
3.149997,2.046669
3.159997,2.049293
3.169997,2.051902
3.179997,2.054495
3.189997,2.057073
3.199997,2.059634
3.209997,2.062181
3.219997,2.064711
3.229997,2.067226
3.239997,2.069726
3.249997,2.072211
3.259997,2.074681
3.269997,2.077135
3.279997,2.079575
3.289997,2.081999
3.299997,2.084409
3.309997,2.086804
3.319997,2.089184
3.329997,2.091550
3.339997,2.093901
3.349997,2.096237
3.359997,2.098560
3.369997,2.100868
3.379997,2.103161
3.389997,2.105441
3.399997,2.107706
3.409997,2.109958
3.419997,2.112195
3.429997,2.114419
3.439997,2.116629
3.449997,2.118826
3.459997,2.121008
3.469997,2.123178
3.479997,2.125333
3.489997,2.127476
3.499997,2.129605
3.509997,2.131721
3.519997,2.133823
3.529997,2.135913
3.539997,2.137989
3.549997,2.140053
3.559997,2.142103
3.569997,2.144141
3.579997,2.146167
3.589997,2.148179
3.599997,2.150179
3.609997,2.152166
3.619997,2.154141
3.629997,2.156104
3.639997,2.158054
3.649997,2.159992
3.659997,2.161918
3.669997,2.163832
3.679997,2.165734
3.689997,2.167624
3.699997,2.169501
3.709997,2.171367
3.719997,2.173222
3.729997,2.175064
3.739997,2.176895
3.749997,2.178715
3.759997,2.180522
3.769997,2.182319
3.779997,2.184104
3.789997,2.185878
3.799997,2.187640
3.809997,2.189392
3.819997,2.191132
3.829997,2.192862
3.839997,2.194580
3.849997,2.196287
3.859997,2.197984
3.869997,2.199670
3.879997,2.201345
3.889997,2.203009
3.899997,2.204663
3.909997,2.206306
3.919997,2.207939
3.929997,2.209562
3.939997,2.211174
3.949997,2.212775
3.959997,2.214367
3.969997,2.215948
3.979997,2.217519
3.989997,2.219080
3.999997,2.220632
4.009997,2.222173
4.019997,2.223704
4.029997,2.225226
4.039998,2.226738
4.049998,2.228240
4.059998,2.229732
4.069998,2.231215
4.079998,2.232689
4.089999,2.234153
4.099999,2.235607
4.109999,2.237052
4.119999,2.238488
4.130000,2.239915
4.140000,2.241332
4.150000,2.242740
4.160000,2.244140
4.170001,2.245530
4.180001,2.246911
4.190001,2.248283
4.200001,2.249647
4.210001,2.251001
4.220002,2.252347
4.230002,2.253684
4.240002,2.255013
4.250002,2.256332
4.260003,2.257644
4.270003,2.258946
4.280003,2.260241
4.290003,2.261527
4.300004,2.262804
4.310004,2.264073
4.320004,2.265334
4.330004,2.266587
4.340004,2.267832
4.350005,2.269068
4.360005,2.270297
4.370005,2.271517
4.380005,2.272730
4.390006,2.273934
4.400006,2.275131
4.410006,2.276320
4.420006,2.277501
4.430007,2.278675
4.440007,2.279840
4.450007,2.280999
4.460007,2.282149
4.470007,2.283292
4.480008,2.284428
4.490008,2.285556
4.500008,2.286677
4.510008,2.287790
4.520009,2.288896
4.530009,2.289995
4.540009,2.291087
4.550009,2.292171
4.560009,2.293248
4.570010,2.294318
4.580010,2.295382
4.590010,2.296438
4.600010,2.297487
4.610011,2.298529
4.620011,2.299565
4.630011,2.300593
4.640011,2.301615
4.650012,2.302630
4.660012,2.303638
4.670012,2.304640
4.680012,2.305635
4.690012,2.306623
4.700013,2.307605
4.710013,2.308581
4.720013,2.309550
4.730013,2.310512
4.740014,2.311468
4.750014,2.312418
4.760014,2.313361
4.770014,2.314299
4.780015,2.315230
4.790015,2.316154
4.800015,2.317073
4.810015,2.317986
4.820015,2.318892
4.830016,2.319793
4.840016,2.320687
4.850016,2.321576
4.860016,2.322459
4.870017,2.323335
4.880017,2.324206
4.890017,2.325071
4.900017,2.325930
4.910017,2.326784
4.920018,2.327632
4.930018,2.328474
4.940018,2.329310
4.950018,2.330141
4.960019,2.330967
4.970019,2.331787
4.980019,2.332601
4.990019,2.333410
5.000020,2.334213
5.010020,2.335011
5.020020,2.335804
5.030020,2.336592
5.040020,2.337374
5.050021,2.338151
5.060021,2.338922
5.070021,2.339689
5.080021,2.340450
5.090022,2.341206
5.100022,2.341957
5.110022,2.342703
5.120022,2.343444
5.130023,2.344180
5.140023,2.344911
5.150023,2.345637
5.160023,2.346358
5.170023,2.347075
5.180024,2.347786
5.190024,2.348493
5.200024,2.349195
5.210024,2.349892
5.220025,2.350584
5.230025,2.351272
5.240025,2.351955
5.250025,2.352633
5.260026,2.353307
5.270026,2.353976
5.280026,2.354641
5.290026,2.355301
5.300026,2.355957
5.310027,2.356608
5.320027,2.357255
5.330027,2.357898
5.340027,2.358536
5.350028,2.359169
5.360028,2.359799
5.370028,2.360424
5.380028,2.361045
5.390028,2.361661
